,me_전사,en_전사,me_암살자,en_암살자,me_마법사,en_마법사,me_원거리 공격,en_원거리 공격,me_지원가,en_지원가,me_탱커,en_탱커,me_AP,en_AP,me_AD,en_AD,me_CC,en_CC,me_유틸,en_유틸,me_돌진,en_돌진,me_포킹,en_포킹,me_광역,en_광역,me_스플릿 푸쉬,en_스플릿 푸쉬,me_antiAP,en_antiAP,me_antiAD,en_antiAD,me_글로벌,en_글로벌,me_이동기,en_이동기,me_은신,en_은신,me_버프,en_버프,me_그랩,en_그랩,win
0,1,2,1,1,3,3,2,1,1,2,2,1,1,1,3,2,1,2,1,0,1,1,2,2,2,1,0,2,0,0,0,0,1,0,4,3,0,0,1,1,0,1,True
1,2,1,1,1,3,3,1,2,2,1,1,2,1,1,2,3,2,1,0,1,1,1,2,2,1,2,2,0,0,0,0,0,0,1,3,4,0,0,1,1,1,0,False
2,2,2,2,0,2,2,2,0,2,3,0,3,1,2,3,2,1,0,0,1,0,1,2,1,2,3,0,1,0,0,0,0,1,0,3,2,1,1,1,2,0,1,False
3,2,2,0,2,2,2,0,2,3,2,3,0,2,1,2,3,0,1,1,0,1,0,1,2,3,2,1,0,0,0,0,0,0,1,2,3,1,1,2,1,1,0,True
4,2,2,1,2,2,1,2,2,2,1,0,2,3,0,2,3,1,2,0,0,2,1,2,1,2,2,1,1,0,0,0,0,1,0,4,3,0,1,0,1,1,0,True
5,2,2,2,1,1,2,2,2,1,2,2,0,0,3,3,2,2,1,0,0,1,2,1,2,2,2,1,1,0,0,0,0,0,1,3,4,1,0,1,0,0,1,False
6,3,2,2,0,2,1,2,2,1,1,0,3,1,1,3,3,1,1,0,0,1,1,2,2,0,3,1,0,0,0,0,0,0,0,4,3,1,0,0,0,1,0,True
7,2,3,0,2,1,2,2,2,1,1,3,0,1,1,3,3,1,1,0,0,1,1,2,2,3,0,0,1,0,0,0,0,0,0,3,4,0,1,0,0,0,1,False
8,2,3,1,1,2,2,1,1,2,1,2,2,1,1,3,3,0,1,1,0,0,0,2,2,3,2,1,0,0,0,0,1,1,1,4,4,1,0,1,0,1,0,True
9,3,2,1,1,2,2,1,1,1,2,2,2,1,1,3,3,1,0,0,1,0,0,2,2,2,3,0,1,0,0,1,0,1,1,4,4,0,1,0,1,0,1,False
10,3,2,3,2,1,0,0,1,2,1,0,1,1,0,3,3,1,1,0,1,3,1,1,1,2,3,1,0,0,0,0,0,1,0,3,2,1,0,1,1,1,1,False
11,2,3,2,3,0,1,1,0,1,2,1,0,0,1,3,3,1,1,1,0,1,3,1,1,3,2,0,1,0,0,0,0,0,1,2,3,0,1,1,1,1,1,True
12,1,2,0,2,2,1,2,1,2,2,2,1,1,2,3,2,1,1,0,0,0,1,3,1,2,1,0,0,0,0,0,0,1,1,4,3,0,1,1,1,0,0,False
13,2,1,2,0,1,2,1,2,2,2,1,2,2,1,2,3,1,1,0,0,1,0,1,3,1,2,0,0,0,0,0,0,1,1,3,4,1,0,1,1,0,0,True
14,1,2,1,1,1,2,2,1,1,1,2,2,1,2,3,2,1,2,0,0,1,2,1,2,0,3,0,1,0,1,0,0,0,3,5,3,1,0,0,0,0,0,False
15,2,1,1,1,2,1,1,2,1,1,2,2,2,1,2,3,2,1,0,0,2,1,2,1,3,0,1,0,1,0,0,0,3,0,3,5,0,1,0,0,0,0,True
16,1,1,1,2,2,2,1,1,1,3,1,1,2,1,2,2,2,2,0,0,1,1,1,3,2,2,0,0,0,0,0,0,1,2,3,2,0,1,1,2,0,0,True
17,1,1,2,1,2,2,1,1,3,1,1,1,1,2,2,2,2,2,0,0,1,1,3,1,2,2,0,0,0,0,0,0,2,1,2,3,1,0,2,1,0,0,False
18,2,2,2,1,2,1,1,1,1,3,2,2,1,2,3,3,1,1,0,0,1,1,1,2,2,2,1,1,0,0,0,0,1,1,3,3,0,0,1,1,0,0,False
19,2,2,1,2,1,2,1,1,3,1,2,2,2,1,3,3,1,1,0,0,1,1,2,1,2,2,1,1,0,0,0,0,1,1,3,3,0,0,1,1,0,0,True
20,2,2,0,4,3,1,2,0,1,1,2,0,1,2,3,2,1,0,0,1,1,2,3,1,2,1,1,1,1,0,0,0,1,0,3,4,0,3,1,0,0,1,False
21,2,2,4,0,1,3,0,2,1,1,0,2,2,1,2,3,0,1,1,0,2,1,1,3,1,2,1,1,0,1,0,0,0,1,4,3,3,0,0,1,1,0,True
22,4,3,1,3,2,2,1,1,1,0,1,1,1,2,3,3,1,1,0,0,1,3,1,1,2,2,0,1,0,0,0,0,0,0,4,4,0,1,0,0,1,0,True
23,3,4,3,1,2,2,1,1,0,1,1,1,2,1,3,3,1,1,0,0,3,1,1,1,2,2,1,0,0,0,0,0,0,0,4,4,1,0,0,0,0,1,False
24,0,2,2,1,2,2,1,1,2,1,2,0,1,2,2,2,2,1,0,0,0,1,2,2,2,2,0,1,1,0,0,0,2,3,4,1,2,0,0,1,0,0,True
25,2,0,1,2,2,2,1,1,1,2,0,2,2,1,2,2,1,2,0,0,1,0,2,2,2,2,1,0,0,1,0,0,3,2,1,4,0,2,1,0,0,0,False
26,1,2,1,2,1,2,2,1,1,1,2,0,1,2,3,2,1,0,0,1,1,1,1,0,2,2,0,2,0,0,1,0,0,1,3,3,0,2,0,0,0,1,True
27,2,1,2,1,2,1,1,2,1,1,0,2,2,1,2,3,0,1,1,0,1,1,0,1,2,2,2,0,0,0,0,1,1,0,3,3,2,0,0,0,1,0,False
28,2,4,1,2,1,1,1,1,1,0,3,2,1,1,3,4,1,1,0,0,1,5,1,1,3,1,0,1,0,0,0,0,1,1,4,2,0,1,0,0,0,0,True
29,4,2,2,1,1,1,1,1,0,1,2,3,1,1,4,3,1,1,0,0,5,1,1,1,1,3,1,0,0,0,0,0,1,1,2,4,1,0,0,0,0,0,False
30,0,2,2,1,4,1,2,1,1,2,0,2,2,1,2,3,1,1,1,0,1,1,1,2,2,2,0,1,0,0,0,0,0,1,3,2,1,1,1,1,0,0,False
31,2,0,1,2,1,4,1,2,2,1,2,0,1,2,3,2,1,1,0,1,1,1,2,1,2,2,1,0,0,0,0,0,1,0,2,3,1,1,1,1,0,0,True
32,3,2,1,0,2,2,1,2,1,1,2,3,1,2,3,3,1,1,0,0,1,2,2,2,0,3,0,1,0,0,0,1,0,1,3,3,1,1,0,0,0,0,False
33,2,3,0,1,2,2,2,1,1,1,3,2,2,1,3,3,1,1,0,0,2,1,2,2,3,0,1,0,0,0,1,0,1,0,3,3,1,1,0,0,0,0,True
34,3,2,0,1,1,2,1,2,2,0,1,2,1,1,3,3,1,1,0,0,2,0,2,0,3,1,1,0,0,0,0,1,2,1,3,4,0,1,2,0,1,0,True
35,2,3,1,0,2,1,2,1,0,2,2,1,1,1,3,3,1,1,0,0,0,2,0,2,1,3,0,1,0,0,1,0,1,2,4,3,1,0,0,2,0,1,False
36,1,1,3,1,2,2,1,2,1,1,0,2,1,2,3,2,1,1,0,0,2,1,2,1,2,3,0,1,0,0,0,0,0,0,5,4,3,0,0,0,1,0,True
37,1,1,1,3,2,2,2,1,1,1,2,0,2,1,2,3,1,1,0,0,1,2,1,2,3,2,1,0,0,0,0,0,0,0,4,5,0,3,0,0,0,1,False
